GEO_ID,NAME,DP04_0001E,DP04_0002E
25001,"Barnstable County, Massachusetts",164064,95859
25003,"Berkshire County, Massachusetts",69149,54786
25005,"Bristol County, Massachusetts",236043,220365
25007,"Dukes County, Massachusetts",18030,6887
25009,"Essex County, Massachusetts",313956,297254
25011,"Franklin County, Massachusetts",34164,30790
25013,"Hampden County, Massachusetts",193713,180492
25015,"Hampshire County, Massachusetts",64114,59607
25017,"Middlesex County, Massachusetts",641278,611850
25019,"Nantucket County, Massachusetts",12498,3709
25021,"Norfolk County, Massachusetts",280180,267967
25023,"Plymouth County, Massachusetts",208056,190355
25025,"Suffolk County, Massachusetts",341231,312978
25027,"Worcester County, Massachusetts",336533,314081